status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,tuid,high,,47,47,OYy1MJ4BXb1gYwgPz7Tv,OYy1MJ4BXb1gYwgPz7Tv,,,fde43229544b7d1f,fde43229544b7d1f,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,48,48,Ooy1MJ4BXb1gYwgPz7Tv,Ooy1MJ4BXb1gYwgPz7Tv,,,62ad6936122cffd8,62ad6936122cffd8,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,49,49,O4y1MJ4BXb1gYwgPz7Tv,O4y1MJ4BXb1gYwgPz7Tv,,,945d33ae756479fa,945d33ae756479fa,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,50,50,PIy1MJ4BXb1gYwgPz7Tv,PIy1MJ4BXb1gYwgPz7Tv,,,eda224a31815d43b,eda224a31815d43b,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,51,51,PYy1MJ4BXb1gYwgPz7Tv,PYy1MJ4BXb1gYwgPz7Tv,,,45289f16b7672579,45289f16b7672579,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,52,52,Poy1MJ4BXb1gYwgPz7Tv,Poy1MJ4BXb1gYwgPz7Tv,,,a3bc3dc4df15e853,a3bc3dc4df15e853,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,53,53,P4y1MJ4BXb1gYwgPz7Tv,P4y1MJ4BXb1gYwgPz7Tv,,,bc070fe9a55388c6,bc070fe9a55388c6,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,54,54,QIy1MJ4BXb1gYwgPz7Tv,QIy1MJ4BXb1gYwgPz7Tv,,,98eb184abc6528fe,98eb184abc6528fe,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,55,55,QYy1MJ4BXb1gYwgPz7Tv,QYy1MJ4BXb1gYwgPz7Tv,,,7f1fc9116d075620,7f1fc9116d075620,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,56,56,Qoy1MJ4BXb1gYwgPz7Tv,Qoy1MJ4BXb1gYwgPz7Tv,,,299bb73aa4baf2e1,299bb73aa4baf2e1,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,57,57,Q4y1MJ4BXb1gYwgPz7Tv,Q4y1MJ4BXb1gYwgPz7Tv,,,29239829c3c7fd49,29239829c3c7fd49,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,58,58,RIy1MJ4BXb1gYwgPz7Tv,RIy1MJ4BXb1gYwgPz7Tv,,,cbddccfaff87b82e,cbddccfaff87b82e,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,59,59,RYy1MJ4BXb1gYwgPz7Tv,RYy1MJ4BXb1gYwgPz7Tv,,,35b58e77fd916f7f,35b58e77fd916f7f,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,60,60,Roy1MJ4BXb1gYwgPz7Tv,Roy1MJ4BXb1gYwgPz7Tv,,,41cdd1d7aa8c6999,41cdd1d7aa8c6999,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,61,61,R4y1MJ4BXb1gYwgPz7Tv,R4y1MJ4BXb1gYwgPz7Tv,,,1b143c189328d454,1b143c189328d454,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,62,62,SIy1MJ4BXb1gYwgPz7Tv,SIy1MJ4BXb1gYwgPz7Tv,,,ff9ef6e2787040cd,ff9ef6e2787040cd,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,63,63,SYy1MJ4BXb1gYwgPz7Tv,SYy1MJ4BXb1gYwgPz7Tv,,,d6e9af2e2688ea9b,d6e9af2e2688ea9b,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,64,64,Soy1MJ4BXb1gYwgPz7Tv,Soy1MJ4BXb1gYwgPz7Tv,,,8b43208b6b02924d,8b43208b6b02924d,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
